game_year,batter,stand,p_throws,zone,pitch_type,ball_in_play,foul,swinging_strike,total_swings,pct_swinging_strike,pct_foul,pct_ball_in_play
2024,453568,L,R,6,SI,3,1,0,4,0.0,0.25,0.75
2024,453568,L,R,6,SL,1,5,0,6,0.0,0.8333333333333334,0.16666666666666666
2024,453568,L,R,6,ST,1,1,0,2,0.0,0.5,0.5
2024,453568,L,R,7,CH,13,4,1,18,0.05555555555555555,0.2222222222222222,0.7222222222222222
2024,453568,L,R,7,CU,1,0,2,3,0.6666666666666666,0.0,0.3333333333333333
2024,453568,L,R,7,FF,3,3,0,6,0.0,0.5,0.5
2024,453568,L,R,7,FS,1,2,1,4,0.25,0.5,0.25
2024,453568,L,R,7,KC,1,0,0,1,0.0,0.0,1.0
2024,453568,L,R,7,KN,1,0,0,1,0.0,0.0,1.0
2024,453568,L,R,7,SI,0,4,0,4,0.0,1.0,0.0
2024,453568,L,R,7,SL,1,6,0,7,0.0,0.8571428571428571,0.14285714285714285
2024,453568,L,R,7,ST,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,453568,L,R,8,CH,6,4,4,14,0.2857142857142857,0.2857142857142857,0.42857142857142855
2024,453568,L,R,8,CU,4,2,1,7,0.14285714285714285,0.2857142857142857,0.5714285714285714
2024,453568,L,R,8,FC,4,3,1,8,0.125,0.375,0.5
2024,453568,L,R,8,FF,11,8,0,19,0.0,0.42105263157894735,0.5789473684210527
2024,453568,L,R,8,FS,2,0,1,3,0.3333333333333333,0.0,0.6666666666666666
2024,453568,L,R,8,KC,2,0,0,2,0.0,0.0,1.0
2024,453568,L,R,8,SI,4,4,0,8,0.0,0.5,0.5
2024,453568,L,R,8,SL,4,5,3,12,0.25,0.4166666666666667,0.3333333333333333
2024,453568,L,R,8,ST,3,1,2,6,0.3333333333333333,0.16666666666666666,0.5
2024,453568,L,R,8,SV,0,1,0,1,0.0,1.0,0.0
2024,453568,L,R,9,CH,0,1,3,4,0.75,0.25,0.0
2024,453568,L,R,9,CU,0,1,0,1,0.0,1.0,0.0
2024,453568,L,R,9,FC,2,2,0,4,0.0,0.5,0.5
2024,453568,L,R,9,FF,9,7,0,16,0.0,0.4375,0.5625
2024,453568,L,R,9,FS,0,2,0,2,0.0,1.0,0.0
2024,453568,L,R,9,SI,2,1,0,3,0.0,0.3333333333333333,0.6666666666666666
2024,453568,L,R,9,SL,1,8,2,11,0.18181818181818182,0.7272727272727273,0.09090909090909091
2024,453568,L,R,11,CH,1,0,1,2,0.5,0.0,0.5
2024,453568,L,R,11,FC,0,0,1,1,1.0,0.0,0.0
2024,453568,L,R,11,FF,6,8,4,18,0.2222222222222222,0.4444444444444444,0.3333333333333333
2024,453568,L,R,11,SI,1,0,0,1,0.0,0.0,1.0
2024,453568,L,R,12,FC,3,4,1,8,0.125,0.5,0.375
2024,453568,L,R,12,FF,9,14,6,29,0.20689655172413793,0.4827586206896552,0.3103448275862069
2024,453568,L,R,12,SL,0,2,1,3,0.3333333333333333,0.6666666666666666,0.0
2024,453568,L,R,13,CH,12,3,11,26,0.4230769230769231,0.11538461538461539,0.46153846153846156
2024,453568,L,R,13,CU,4,2,1,7,0.14285714285714285,0.2857142857142857,0.5714285714285714
2024,453568,L,R,13,FC,2,1,0,3,0.0,0.3333333333333333,0.6666666666666666
2024,453568,L,R,13,FF,1,2,1,4,0.25,0.5,0.25
2024,453568,L,R,13,FS,3,3,1,7,0.14285714285714285,0.42857142857142855,0.42857142857142855
2024,453568,L,R,13,KC,1,0,4,5,0.8,0.0,0.2
2024,453568,L,R,13,SI,2,0,2,4,0.5,0.0,0.5
2024,453568,L,R,13,SL,2,4,2,8,0.25,0.5,0.25
2024,453568,L,R,13,ST,0,1,0,1,0.0,1.0,0.0
2024,453568,L,R,14,CH,5,5,3,13,0.23076923076923078,0.38461538461538464,0.38461538461538464
2024,453568,L,R,14,CU,2,8,8,18,0.4444444444444444,0.4444444444444444,0.1111111111111111
2024,453568,L,R,14,FC,2,10,5,17,0.29411764705882354,0.5882352941176471,0.11764705882352941
2024,453568,L,R,14,FF,4,5,1,10,0.1,0.5,0.4
2024,453568,L,R,14,FS,5,1,5,11,0.45454545454545453,0.09090909090909091,0.45454545454545453
2024,453568,L,R,14,KC,0,4,4,8,0.5,0.5,0.0
2024,453568,L,R,14,SC,0,1,1,2,0.5,0.5,0.0
2024,453568,L,R,14,SI,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
2024,453568,L,R,14,SL,2,8,14,24,0.5833333333333334,0.3333333333333333,0.08333333333333333
2024,453568,L,R,14,ST,1,1,2,4,0.5,0.25,0.25
2024,455117,R,L,1,FC,1,1,0,2,0.0,0.5,0.5
2024,455117,R,L,1,FF,0,3,0,3,0.0,1.0,0.0
2024,455117,R,L,2,FC,1,0,0,1,0.0,0.0,1.0
2024,455117,R,L,2,FF,4,1,1,6,0.16666666666666666,0.16666666666666666,0.6666666666666666
2024,455117,R,L,2,FS,1,0,0,1,0.0,0.0,1.0
2024,455117,R,L,2,SI,0,1,0,1,0.0,1.0,0.0
2024,455117,R,L,3,CH,0,1,0,1,0.0,1.0,0.0
2024,455117,R,L,3,CU,0,0,1,1,1.0,0.0,0.0
2024,455117,R,L,3,FF,2,3,2,7,0.2857142857142857,0.42857142857142855,0.2857142857142857
2024,455117,R,L,3,SI,0,1,0,1,0.0,1.0,0.0
2024,455117,R,L,3,SL,0,1,0,1,0.0,1.0,0.0
2024,455117,R,L,4,CU,0,1,0,1,0.0,1.0,0.0
2024,455117,R,L,4,FF,2,3,0,5,0.0,0.6,0.4
2024,455117,R,L,5,CH,0,1,0,1,0.0,1.0,0.0
2024,455117,R,L,5,CU,1,0,0,1,0.0,0.0,1.0
2024,455117,R,L,5,FF,1,1,0,2,0.0,0.5,0.5
2024,455117,R,L,5,KC,1,0,0,1,0.0,0.0,1.0
2024,455117,R,L,5,SI,0,2,0,2,0.0,1.0,0.0
2024,455117,R,L,5,SL,0,2,0,2,0.0,1.0,0.0
2024,455117,R,L,5,ST,0,1,0,1,0.0,1.0,0.0
2024,455117,R,L,6,FC,0,0,1,1,1.0,0.0,0.0
2024,455117,R,L,6,FF,2,1,0,3,0.0,0.3333333333333333,0.6666666666666666
2024,455117,R,L,6,SI,2,3,0,5,0.0,0.6,0.4
2024,455117,R,L,7,CU,1,0,0,1,0.0,0.0,1.0
2024,455117,R,L,7,FF,1,1,0,2,0.0,0.5,0.5
2024,455117,R,L,7,SL,0,0,1,1,1.0,0.0,0.0
2024,455117,R,L,8,CU,0,0,1,1,1.0,0.0,0.0
2024,455117,R,L,8,FF,1,0,0,1,0.0,0.0,1.0
2024,455117,R,L,8,SI,2,0,0,2,0.0,0.0,1.0
2024,455117,R,L,8,SL,0,1,0,1,0.0,1.0,0.0
2024,455117,R,L,9,CH,1,0,1,2,0.5,0.0,0.5
2024,455117,R,L,11,FC,0,0,1,1,1.0,0.0,0.0
