game_year,stand,p_throws,zone,pitch_type,total_pitches,total_swings,swing_percentage
2024,L,L,13,FF,2003,164,0.08187718422366451
2024,L,L,13,FS,41,13,0.3170731707317073
2024,L,L,13,KC,349,110,0.3151862464183381
2024,L,L,13,SI,1645,120,0.0729483282674772
2024,L,L,13,SL,4596,1451,0.31570931244560485
2024,L,L,13,ST,2313,735,0.31776913099870296
2024,L,L,13,SV,243,73,0.3004115226337449
2024,L,L,14,CH,391,198,0.5063938618925832
2024,L,L,14,CU,224,95,0.42410714285714285
2024,L,L,14,EP,2,0,0.0
2024,L,L,14,FA,1,0,0.0
2024,L,L,14,FC,89,21,0.23595505617977527
2024,L,L,14,FF,425,118,0.2776470588235294
2024,L,L,14,FO,2,1,0.5
2024,L,L,14,FS,53,30,0.5660377358490566
2024,L,L,14,KC,61,26,0.4262295081967213
2024,L,L,14,SI,1546,701,0.4534282018111255
2024,L,L,14,SL,410,150,0.36585365853658536
2024,L,L,14,ST,206,46,0.22330097087378642
2024,L,L,14,SV,39,19,0.48717948717948717
2024,L,R,1,CH,862,497,0.5765661252900232
2024,L,R,1,CS,2,0,0.0
2024,L,R,1,CU,694,147,0.21181556195965417
2024,L,R,1,EP,16,13,0.8125
2024,L,R,1,FA,17,14,0.8235294117647058
2024,L,R,1,FC,1243,586,0.47144006436041835
2024,L,R,1,FF,7152,4899,0.68498322147651
2024,L,R,1,FS,291,152,0.5223367697594502
2024,L,R,1,KC,185,42,0.22702702702702704
2024,L,R,1,KN,23,13,0.5652173913043478
2024,L,R,1,SC,5,1,0.2
2024,L,R,1,SI,1362,806,0.591776798825257
2024,L,R,1,SL,941,373,0.39638682252922425
2024,L,R,1,ST,359,105,0.2924791086350975
2024,L,R,1,SV,27,10,0.37037037037037035
2024,L,R,2,CH,470,280,0.5957446808510638
2024,L,R,2,CU,459,171,0.37254901960784315
2024,L,R,2,EP,10,5,0.5
2024,L,R,2,FA,20,13,0.65
2024,L,R,2,FC,1808,1343,0.7428097345132744
2024,L,R,2,FF,7567,6530,0.8629575789612792
2024,L,R,2,FO,1,1,1.0
2024,L,R,2,FS,168,97,0.5773809523809523
2024,L,R,2,KC,111,46,0.4144144144144144
2024,L,R,2,KN,15,7,0.4666666666666667
2024,L,R,2,SC,2,2,1.0
2024,L,R,2,SI,1235,790,0.6396761133603239
2024,L,R,2,SL,938,590,0.6289978678038379
2024,L,R,2,ST,245,131,0.5346938775510204
2024,L,R,2,SV,13,8,0.6153846153846154
2024,L,R,3,CH,120,28,0.23333333333333334
2024,L,R,3,CU,178,56,0.3146067415730337
2024,L,R,3,EP,5,5,1.0
2024,L,R,3,FA,15,10,0.6666666666666666
2024,L,R,3,FC,1602,1211,0.7559300873907615
2024,L,R,3,FF,4595,3595,0.7823721436343852
2024,L,R,3,FS,57,26,0.45614035087719296
2024,L,R,3,KC,41,16,0.3902439024390244
2024,L,R,3,KN,5,4,0.8
2024,L,R,3,SC,2,0,0.0
2024,L,R,3,SI,901,348,0.38623751387347394
2024,L,R,3,SL,577,380,0.658578856152513
2024,L,R,3,ST,136,89,0.6544117647058824
2024,L,R,3,SV,4,3,0.75
2024,L,R,4,CH,2439,2046,0.8388683886838868
2024,L,R,4,CS,1,1,1.0
2024,L,R,4,CU,1249,544,0.4355484387510008
2024,L,R,4,EP,11,8,0.7272727272727273
2024,L,R,4,FA,18,11,0.6111111111111112
2024,L,R,4,FC,1391,730,0.5248023005032351
2024,L,R,4,FF,6703,4438,0.662091600775772
2024,L,R,4,FO,1,1,1.0
2024,L,R,4,FS,830,650,0.7831325301204819
2024,L,R,4,KC,300,123,0.41
2024,L,R,4,KN,32,22,0.6875
2024,L,R,4,SC,8,6,0.75
2024,L,R,4,SI,2354,1780,0.756159728122345
2024,L,R,4,SL,1835,979,0.5335149863760218
2024,L,R,4,ST,794,340,0.4282115869017632
2024,L,R,4,SV,62,19,0.3064516129032258
2024,L,R,5,CH,1546,1254,0.8111254851228978
2024,L,R,5,CS,2,2,1.0
2024,L,R,5,CU,1293,810,0.6264501160092807
2024,L,R,5,EP,14,10,0.7142857142857143
2024,L,R,5,FA,15,14,0.9333333333333333
2024,L,R,5,FC,1991,1651,0.8292315419387243
2024,L,R,5,FF,7785,6257,0.8037251123956326
2024,L,R,5,FO,6,5,0.8333333333333334
2024,L,R,5,FS,527,448,0.8500948766603416
2024,L,R,5,KC,346,218,0.630057803468208
2024,L,R,5,KN,43,34,0.7906976744186046
2024,L,R,5,SC,4,2,0.5
2024,L,R,5,SI,2194,1721,0.784412032816773
2024,L,R,5,SL,2114,1630,0.771050141911069
2024,L,R,5,ST,760,535,0.7039473684210527
2024,L,R,5,SV,53,28,0.5283018867924528
2024,L,R,6,CH,452,239,0.5287610619469026
2024,L,R,6,CS,1,1,1.0
2024,L,R,6,CU,619,354,0.5718901453957996
2024,L,R,6,EP,14,4,0.2857142857142857
2024,L,R,6,FA,11,11,1.0
2024,L,R,6,FC,1918,1637,0.8534932221063608
2024,L,R,6,FF,5254,3837,0.7303007232584697
2024,L,R,6,FS,193,127,0.6580310880829016
2024,L,R,6,KC,128,82,0.640625
2024,L,R,6,KN,21,17,0.8095238095238095
2024,L,R,6,SC,2,0,0.0
2024,L,R,6,SI,1463,735,0.5023923444976076
2024,L,R,6,SL,1436,1173,0.8168523676880223
2024,L,R,6,ST,525,428,0.8152380952380952
2024,L,R,6,SV,20,13,0.65
2024,L,R,7,CH,3382,2817,0.8329390892962744
2024,L,R,7,CS,1,1,1.0
2024,L,R,7,CU,1315,739,0.5619771863117871
2024,L,R,7,EP,5,4,0.8
2024,L,R,7,FA,6,6,1.0
2024,L,R,7,FC,793,280,0.3530895334174023
2024,L,R,7,FF,3124,1166,0.3732394366197183
2024,L,R,7,FO,3,2,0.6666666666666666
2024,L,R,7,FS,1232,1021,0.8287337662337663
2024,L,R,7,KC,396,227,0.5732323232323232
2024,L,R,7,KN,37,15,0.40540540540540543
2024,L,R,7,SC,10,5,0.5
