game_year,player_name,pitcher,stand,pitch_type,balls,strikes,count,total_count,frequency
2024,"Povich, Cade",700249,R,FF,0,0,124,255,0.48627450980392156
2024,"Anderson, Tyler",542881,R,CH,1,0,123,237,0.5189873417721519
2024,"Irvin, Cole",608344,R,CU,0,0,123,404,0.30445544554455445
2024,"Houck, Tanner",656557,L,FS,0,0,123,395,0.31139240506329113
2024,"Suárez, Ranger",624133,R,CU,0,0,123,518,0.23745173745173745
2024,"Skubal, Tarik",669373,R,SL,0,0,123,660,0.18636363636363637
2024,"Rodriguez, Grayson",680570,L,FF,0,0,123,248,0.4959677419354839
2024,"Spence, Mitch",687765,R,SL,0,0,123,366,0.3360655737704918
2024,"Pfaadt, Brandon",694297,R,SI,0,0,122,380,0.32105263157894737
2024,"Pfaadt, Brandon",694297,R,ST,0,0,122,380,0.32105263157894737
2024,"Cortes, Nestor",641482,R,FF,0,1,122,267,0.45692883895131087
2024,"Ureña, José",570632,R,SI,0,0,122,258,0.4728682170542636
2024,"Harris, Hogan",663687,R,FF,0,0,121,234,0.5170940170940171
2024,"Foley, Jason",671345,R,SI,0,0,121,153,0.7908496732026143
2024,"Miller, Bryce",682243,R,SI,0,0,121,334,0.36227544910179643
2024,"Liberatore, Matthew",669461,R,FF,0,0,121,234,0.5170940170940171
2024,"Mikolas, Miles",571945,R,SI,0,0,121,385,0.3142857142857143
2024,"Yarbrough, Ryan",642232,R,SI,0,0,120,258,0.46511627906976744
2024,"Clase, Emmanuel",661403,L,FC,0,0,120,126,0.9523809523809523
2024,"Rea, Colin",607067,L,SI,0,0,120,366,0.32786885245901637
2024,"Gore, MacKenzie",669022,R,FF,1,0,120,214,0.5607476635514018
2024,"Houck, Tanner",656557,L,SI,0,0,120,395,0.3037974683544304
2024,"Vodnik, Victor",680767,R,FF,0,0,120,187,0.6417112299465241
2024,"Thompson, Ryan",657044,R,SI,0,0,120,155,0.7741935483870968
2024,"Sale, Chris",519242,R,FF,0,1,120,340,0.35294117647058826
2024,"Crochet, Garrett",676979,R,FF,1,2,119,237,0.5021097046413502
2024,"Gray, Jon",592351,R,SL,0,0,119,219,0.54337899543379
2024,"Clase, Emmanuel",661403,R,FC,0,0,119,142,0.8380281690140845
2024,"Sears, JP",676664,R,CH,0,0,119,619,0.19224555735056542
2024,"Fedde, Erick",607200,L,SI,0,0,119,379,0.31398416886543534
2024,"Myers, Tobias",668964,R,FF,0,0,119,290,0.4103448275862069
2024,"Bello, Brayan",678394,R,SL,0,0,118,337,0.35014836795252224
2024,"Olson, Reese",681857,R,SI,0,0,118,222,0.5315315315315315
2024,"Francis, Bowden",670102,L,FF,0,0,118,187,0.6310160427807486
2024,"Miller, Bryce",682243,R,FF,0,0,118,334,0.3532934131736527
2024,"Crawford, Kutter",676710,R,FF,0,0,118,366,0.3224043715846995
2024,"Irvin, Jake",663623,R,CU,0,0,118,383,0.30809399477806787
2024,"Kirby, George",669923,R,SL,0,0,117,422,0.2772511848341232
2024,"Crawford, Kutter",676710,L,KC,0,0,117,394,0.2969543147208122
2024,"Mikolas, Miles",571945,R,SL,0,0,117,385,0.3038961038961039
2024,"Berríos, José",621244,L,SI,0,0,117,429,0.2727272727272727
2024,"Lively, Ben",594902,R,FF,0,0,117,328,0.3567073170731707
2024,"Soriano, José",667755,R,SI,0,0,117,204,0.5735294117647058
2024,"Bello, Brayan",678394,L,CH,0,0,117,389,0.30077120822622105
2024,"Montas, Frankie",593423,L,FF,0,0,117,342,0.34210526315789475
2024,"Kochanowicz, Jack",686799,L,SI,0,0,116,156,0.7435897435897436
2024,"Beeks, Jalen",656222,R,FF,0,0,116,207,0.5603864734299517
2024,"Scott, Tanner",656945,R,FF,0,0,116,221,0.5248868778280543
2024,"Woods Richardson, Simeon",680573,R,SL,0,0,116,330,0.3515151515151515
2024,"Gore, MacKenzie",669022,R,FF,1,1,116,232,0.5
2024,"Pérez, Martín",527048,R,CU,0,0,116,483,0.2401656314699793
2024,"Holton, Tyler",663947,R,FC,0,0,116,215,0.5395348837209303
2024,"Valdez, Framber",664285,R,CU,1,2,116,208,0.5576923076923077
2024,"Nola, Aaron",605400,L,KC,0,0,115,427,0.2693208430913349
2024,"Rodón, Carlos",607074,R,SL,1,2,115,253,0.45454545454545453
2024,"Gomber, Austin",596295,R,KC,0,0,115,544,0.2113970588235294
2024,"Rogers, Trevor",669432,R,SI,0,0,115,445,0.25842696629213485
2024,"Martinez, Justin",679885,R,SI,0,0,115,181,0.6353591160220995
2024,"Kikuchi, Yusei",579328,R,CH,0,1,115,344,0.33430232558139533
2024,"Pivetta, Nick",601713,R,ST,0,0,115,320,0.359375
2024,"Hill, Tim",657612,R,SI,0,0,115,154,0.7467532467532467
2024,"Kirby, George",669923,L,SL,0,0,115,358,0.32122905027932963
2024,"Cannon, Jonathan",686563,R,SI,0,0,115,249,0.46184738955823296
2024,"Ragans, Cole",666142,R,CH,0,1,114,304,0.375
2024,"Holmes, Clay",605280,L,SI,0,0,114,142,0.8028169014084507
2024,"Rodón, Carlos",607074,R,FF,1,1,114,277,0.41155234657039713
2024,"Crawford, Kutter",676710,L,FC,0,0,114,394,0.2893401015228426
2024,"Ortiz, Luis L.",682847,R,SI,0,0,114,302,0.37748344370860926
2024,"Sánchez, Cristopher",650911,R,SI,0,1,114,316,0.36075949367088606
2024,"Bibee, Tanner",676440,R,FC,0,0,114,331,0.34441087613293053
2024,"King, Michael",650633,L,SI,0,0,113,397,0.28463476070528965
2024,"Sánchez, Cristopher",650911,L,SI,0,0,113,157,0.7197452229299363
2024,"Thompson, Ryan",657044,L,SI,0,0,113,130,0.8692307692307693
2024,"Rodón, Carlos",607074,R,CU,0,0,113,620,0.18225806451612903
2024,"Abbott, Andrew",671096,R,FF,0,1,112,225,0.49777777777777776
2024,"Pop, Zach",647315,R,SI,0,0,112,131,0.8549618320610687
2024,"Baz, Shane",669358,L,FF,0,0,112,167,0.6706586826347305
2024,"Feltner, Ryan",663372,R,FF,0,0,112,349,0.3209169054441261
2024,"Cronin, Declan",686539,R,SL,0,0,112,196,0.5714285714285714
2024,"Ragans, Cole",666142,R,FF,0,1,112,304,0.3684210526315789
2024,"Berríos, José",621244,R,SV,0,0,112,380,0.29473684210526313
2024,"Flexen, Chris",623167,L,FF,0,0,112,324,0.345679012345679
2024,"Pivetta, Nick",601713,R,ST,0,1,111,190,0.5842105263157895
2024,"De Los Santos, Enyel",660853,R,SL,0,0,111,176,0.6306818181818182
2024,"Fedde, Erick",607200,R,ST,0,0,111,364,0.30494505494505497
2024,"Skubal, Tarik",669373,R,FF,0,1,111,393,0.2824427480916031
2024,"Pérez, Martín",527048,R,FC,0,0,111,483,0.22981366459627328
2024,"Assad, Javier",665871,L,FF,0,0,111,347,0.31988472622478387
2024,"Bradford, Cody",674003,R,FF,0,0,111,226,0.4911504424778761
2024,"Floro, Dylan",571670,R,SI,0,0,111,179,0.6201117318435754
2024,"Gibson, Kyle",502043,L,FF,0,0,111,409,0.2713936430317848
2024,"Ureña, José",570632,R,SL,0,0,111,258,0.43023255813953487
2024,"Bello, Brayan",678394,L,SL,0,0,111,389,0.2853470437017995
2024,"Ragans, Cole",666142,R,FF,1,2,110,277,0.3971119133574007
2024,"Falter, Bailey",663559,R,FF,0,1,110,232,0.47413793103448276
2024,"Harrison, Kyle",690986,R,FF,1,2,110,168,0.6547619047619048
2024,"Cortes, Nestor",641482,R,FC,1,0,110,244,0.45081967213114754
2024,"Littell, Zack",641793,L,FF,0,0,110,368,0.29891304347826086
2024,"Crochet, Garrett",676979,R,FF,0,2,110,189,0.582010582010582
2024,"Robertson, David",502085,R,FC,0,0,110,165,0.6666666666666666
2024,"López, Pablo",641154,L,CH,0,0,109,387,0.28165374677002586
2024,"Imanaga, Shota",684007,R,FF,1,0,109,181,0.6022099447513812
2024,"Waldron, Matt",663362,R,KN,0,0,109,302,0.3609271523178808
2024,"Anderson, Tyler",542881,R,CH,1,2,109,195,0.558974358974359
2024,"Nelson, Ryne",669194,R,FF,0,1,109,181,0.6022099447513812
2024,"Valdez, Framber",664285,R,CH,0,0,109,601,0.18136439267886856
2024,"Gore, MacKenzie",669022,R,FF,1,2,109,229,0.4759825327510917
2024,"Anderson, Tyler",542881,R,CH,0,1,109,285,0.3824561403508772
2024,"Corbin, Patrick",571578,R,SL,0,1,109,329,0.331306990881459
2024,"Peralta, Freddy",642547,L,FF,0,1,108,175,0.6171428571428571
2024,"Weathers, Ryan",677960,R,FF,0,0,108,303,0.3564356435643564
2024,"Cortes, Nestor",641482,R,ST,0,0,108,561,0.1925133689839572
2024,"Hill, Tim",657612,L,SI,0,0,108,132,0.8181818181818182
2024,"Gomber, Austin",596295,R,CH,0,0,108,544,0.19852941176470587
2024,"Suárez, Albert",544150,R,FC,0,0,108,302,0.3576158940397351
2024,"Cease, Dylan",656302,R,SL,1,2,108,186,0.5806451612903226
2024,"Crochet, Garrett",676979,R,FF,1,0,108,174,0.6206896551724138
2024,"Koenig, Jared",657649,R,SI,0,0,108,171,0.631578947368421
2024,"Kinley, Tyler",641755,R,SL,0,0,108,167,0.6467065868263473
2024,"Jansen, Kenley",445276,R,FC,0,0,108,116,0.9310344827586207
2024,"Chavez, Jesse",445926,R,SI,0,0,108,148,0.7297297297297297
2024,"Sale, Chris",519242,R,FF,1,2,108,299,0.3612040133779264
2024,"Crawford, Kutter",676710,R,ST,0,0,107,366,0.2923497267759563
2024,"Kopech, Michael",656629,R,FF,0,0,107,136,0.7867647058823529
2024,"Criswell, Cooper",681867,R,SI,0,0,107,212,0.5047169811320755
