game_year,batter,bats
2024,694384,L
2024,694385,R
2024,694388,L
2024,694420,L
2024,694425,R
2024,694497,L
2024,694514,L
2024,694580,R
2024,694671,R
2024,694673,L
2024,694689,L
2024,694757,L
2024,694812,R
2024,694815,L
2024,694848,L
2024,694930,L
2024,694966,L
2024,694974,R
2024,694976,L
2024,695013,L
2024,695020,R
2024,695031,R
2024,695078,L
2024,695238,L
2024,695257,R
2024,695299,L
2024,695312,R
2024,695336,R
2024,695342,R
2024,695358,L
2024,695391,R
2024,695461,R
2024,695462,L
2024,695481,R
2024,695508,R
2024,695521,L
2024,695578,L
2024,695587,L
2024,695596,R
2024,695603,R
2024,695604,L
2024,695657,L
2024,695670,R
2024,695692,L
2024,695707,R
2024,695780,L
2024,695930,L
2024,696020,L
2024,696100,R
2024,696135,L
2024,696140,R
2024,696145,R
2024,696160,R
2024,696264,R
2024,696281,L
2024,696285,R
2024,696291,L
2024,696501,R
2024,696521,L
2024,698933,L
2024,698941,R
2024,699013,R
2024,699014,R
2024,699031,R
2024,699073,L
2024,699082,R
2024,699097,R
2024,699114,R
2024,699126,R
2024,699144,L
2024,699157,L
2024,699228,L
2024,699232,L
2024,699293,L
2024,699305,R
2024,699393,L
2024,699471,R
2024,699625,L
2024,699912,R
2024,700242,L
2024,700246,R
2024,700250,L
2024,700341,R
2024,700358,R
2024,700681,R
2024,700731,L
2024,700840,R
2024,700845,R
2024,700932,L
2024,700936,L
2024,701305,R
2024,701327,R
2024,701350,L
2024,701398,R
2024,701437,L
2024,701496,R
2024,701538,L
2024,701544,R
2024,701634,R
2024,701648,L
2024,701655,R
2024,701675,L
2024,701678,R
2024,701817,L
2024,702068,R
2024,702112,R
2024,702176,L
2024,702222,L
2024,702258,R
2024,702261,L
2024,702283,L
2024,702284,L
2024,702292,L
2024,702302,L
2024,702311,L
2024,702328,L
2024,702332,R
2024,702333,R
2024,702358,R
2024,702409,L
2024,702616,L
2024,702708,R
2024,702726,R
2024,702789,R
2024,703143,L
2024,703149,R
2024,703151,L
2024,703155,L
2024,703159,R
2024,703185,L
2024,703197,R
2024,703607,R
2024,703612,L
2024,703766,R
2024,703920,R
2024,800029,R
2024,800050,L
2024,800051,R
2024,800056,L
2024,800060,L
2024,800198,R
2024,800209,L
2024,800231,L
2024,800232,R
2024,800253,L
2024,800294,R
2024,800306,L
2024,800316,R
2024,800325,L
2024,800343,R
2024,800345,R
2024,800357,L
2024,800440,L
2024,800473,R
2024,800516,R
2024,800522,L
2024,800542,R
2024,800543,L
2024,800597,R
2024,800765,R
2024,800959,R
2024,801039,R
2024,801076,R
2024,801126,L
2024,801176,L
2024,801194,R
2024,801442,L
2024,801464,R
2024,801501,L
2024,801507,R
2024,801600,L
2024,801670,L
2024,801740,L
2024,801822,R
2024,802066,R
2024,802407,L
2024,802415,L
2024,802504,R
2024,802506,L
2024,802544,L
2024,802991,R
2024,803033,L
2024,803385,L
2024,803745,L
2024,804240,R
2024,804645,L
2024,804668,R
2024,804710,L
2024,805168,L
2024,805249,R
2024,805280,L
2024,805297,R
2024,805339,R
2024,805367,R
2024,805373,R
2024,805672,R
2024,805701,L
2024,805704,R
2024,805779,R
2024,805795,R
2024,805796,R
2024,805810,L
2024,805834,L
2024,805842,L
2024,805865,L
2024,805999,L
2024,806005,R
2024,806012,R
2024,806068,L
2024,806077,L
2024,806146,R
2024,806191,L
2024,806210,R
2024,806223,R
2024,806267,R
2024,806368,R
2024,806639,R
2024,806956,L
2024,806958,R
2024,806962,R
2024,806964,R
2024,806983,L
2024,807713,R
2024,807720,R
2024,807727,R
2024,807742,L
2024,807746,R
2024,807747,L
2024,807751,L
2024,807799,L
2024,808516,R
2024,808982,L
2024,809846,L
2024,809945,L
2024,810938,R
2024,811210,L
2024,811287,L
2024,812470,L
2024,813852,L
2024,813860,L
2024,814154,L
2024,814307,L
2024,814431,L
2024,814806,L
2024,814816,R
2024,815151,R
2024,815694,R
2024,815842,R
2024,815888,L
